# of Objects, Time Spent
1,0.0
1,0.0
1,0.0
1001,0.0886540412902832
1001,0.08066844940185547
1001,0.1290111541748047
2001,0.37940382957458496
2001,0.389345645904541
2001,0.3746917247772217
3001,0.9937293529510498
3001,0.9266576766967773
3001,0.920696496963501
4001,1.7408812046051025
4001,1.5895051956176758
4001,1.7487850189208984
5001,2.444505214691162
5001,2.389847755432129
5001,2.4220163822174072
6001,3.449495553970337
6001,4.173307180404663
6001,3.9670307636260986
7001,5.2138988971710205
7001,5.305391073226929
7001,5.1925950050354
8001,7.096064805984497
8001,6.847505569458008
8001,7.083522319793701
9001,9.105440378189087
9001,9.546705722808838
9001,8.870625734329224
10001,11.126821994781494
10001,11.12032699584961
10001,12.569929122924805
11001,12.319910287857056
11001,15.80113434791565
11001,13.47299599647522
12001,17.70630955696106
12001,16.687232732772827
12001,16.51909065246582
13001,19.44633460044861
13001,21.51424288749695
13001,21.004145622253418
14001,22.982699871063232
14001,24.226050853729248
14001,24.83937120437622
15001,29.452337741851807
15001,27.176020860671997
15001,21.95261788368225
16001,24.69573426246643
16001,32.14137935638428
16001,28.86532998085022
17001,33.12144875526428
17001,37.4147686958313
17001,27.44092631340027
18001,31.322477102279663
18001,30.90471863746643
18001,30.640045642852783
19001,34.94685673713684
19001,35.23300290107727
19001,34.863823652267456
20001,39.284830808639526
20001,39.15909290313721
20001,38.93967962265015
21001,43.30376935005188
21001,42.96904230117798
21001,43.15404224395752
22001,47.298643350601196
22001,47.63028430938721
22001,48.471397399902344
23001,52.6971173286438
23001,52.78479313850403
23001,52.84069514274597
24001,59.33319354057312
24001,57.293583393096924
24001,57.293665170669556
25001,62.95781850814819
25001,62.815810203552246
25001,63.16316747665405
