# of Objects, Time Spent
1,0.0
1,0.0
1,0.0
1001,0.0
1001,0.0
1001,0.0
2001,0.0
2001,0.0010001659393310547
2001,0.0010006427764892578
3001,0.0010008811950683594
3001,0.00099945068359375
3001,0.0009992122650146484
4001,0.0010006427764892578
4001,0.0
4001,0.0
5001,0.001999378204345703
5001,0.0009992122650146484
5001,0.001001119613647461
6001,0.0
6001,0.0009999275207519531
6001,0.0010025501251220703
7001,0.001001119613647461
7001,0.0
7001,0.0010006427764892578
8001,0.0029976367950439453
8001,0.0019989013671875
8001,0.0009999275207519531
9001,0.002001523971557617
9001,0.0
9001,0.002998828887939453
10001,0.0029954910278320312
10001,0.0029990673065185547
10001,0.0020003318786621094
11001,0.0019979476928710938
11001,0.0010008811950683594
11001,0.0009996891021728516
12001,0.003998279571533203
12001,0.00299835205078125
12001,0.0009999275207519531
13001,0.0
13001,0.010002851486206055
13001,0.002002239227294922
14001,0.0010001659393310547
14001,0.006000041961669922
14001,0.0029997825622558594
15001,0.0030007362365722656
15001,0.005000114440917969
15001,0.006001472473144531
16001,0.0
16001,0.004999399185180664
16001,0.0020012855529785156
17001,0.00299835205078125
17001,0.0029993057250976562
17001,0.0010013580322265625
18001,0.0009989738464355469
18001,0.0030007362365722656
18001,0.003724813461303711
19001,0.004000186920166016
19001,0.005999326705932617
19001,0.0049970149993896484
20001,0.0029985904693603516
20001,0.00500035285949707
20001,0.0019991397857666016
21001,0.0
21001,0.0029990673065185547
21001,0.00699925422668457
22001,0.003998994827270508
22001,0.004996299743652344
22001,0.0019989013671875
23001,0.007000923156738281
23001,0.006998538970947266
23001,0.0069997310638427734
24001,0.004999399185180664
24001,0.0029973983764648438
24001,0.001998424530029297
25001,0.0
25001,0.003998517990112305
25001,0.006999492645263672
300,0.0
300,0.0
300,0.0
500,0.0
500,0.0
500,0.0009980201721191406
700,0.0010001659393310547
700,0.0
700,0.0
900,0.0009982585906982422
900,0.0
900,0.001999378204345703
1100,0.0009968280792236328
1100,0.0019989013671875
1100,0.0
1300,0.0009961128234863281
1300,0.0009996891021728516
1300,0.0
1500,0.002001047134399414
1500,0.0
1500,0.0010004043579101562
1700,0.0
1700,0.0009982585906982422
1700,0.0009992122650146484
1900,0.0
1900,0.0009989738464355469
1900,0.002000093460083008
2100,0.0009992122650146484
2100,0.0
2100,0.0
2300,0.0
2300,0.0009996891021728516
2300,0.0010006427764892578
2500,0.0019989013671875
2500,0.0
2500,0.0009970664978027344
2700,0.0009989738464355469
2700,0.0009996891021728516
2700,0.001999378204345703
2900,0.0009982585906982422
2900,0.0
2900,0.0
3100,0.0009992122650146484
3100,0.002000093460083008
3100,0.002000570297241211
3300,0.0
3300,0.003998279571533203
3300,0.0009968280792236328
3500,0.00099945068359375
3500,0.0009989738464355469
3500,0.003998756408691406
3700,0.0019974708557128906
3700,0.0019919872283935547
3700,0.002997159957885742
3900,0.0
3900,0.002000570297241211
3900,0.0010001659393310547
4100,0.0009987354278564453
4100,0.002998828887939453
4100,0.0019986629486083984
4300,0.002997875213623047
4300,0.0009989738464355469
4300,0.0
4500,0.0
4500,0.002995014190673828
4500,0.0029964447021484375
4700,0.002998828887939453
4700,0.001999378204345703
4700,0.002000093460083008
4900,0.0
4900,0.001998424530029297
4900,0.0019981861114501953
5100,0.001997232437133789
5100,0.001001119613647461
5100,0.002999544143676758
5300,0.001999378204345703
5300,0.0
5300,0.0010018348693847656
5500,0.0
5500,0.0020008087158203125
5500,0.003997087478637695
5700,0.0010008811950683594
5700,0.0
5700,0.0
5900,0.0
5900,0.0
5900,0.0
6100,0.0
6100,0.0010006427764892578
6100,0.00299835205078125
6300,0.004997730255126953
6300,0.0019986629486083984
6300,0.0019998550415039062
6500,0.0061702728271484375
6500,0.0091552734375
6500,0.0
6700,0.007089138031005859
6700,0.006859779357910156
6700,0.0
6900,0.0
6900,0.015622615814208984
6900,0.0
7100,0.0
7100,0.006991863250732422
7100,0.0
7300,0.0
7300,0.0
7300,0.0
7500,0.0
7500,0.0039980411529541016
7500,0.0019986629486083984
7700,0.0
7700,0.0
7700,0.0009996891021728516
7900,0.0
7900,0.002001047134399414
7900,0.011084318161010742
8100,0.0
8100,0.0019989013671875
8100,0.0019996166229248047
8300,0.001998424530029297
8300,0.002003192901611328
8300,0.0009999275207519531
8500,0.0
8500,0.0
8500,0.003997802734375
8700,0.005997180938720703
8700,0.005995273590087891
8700,0.0
8900,0.0
8900,0.0
8900,0.007992029190063477
9100,0.0
9100,0.0039980411529541016
9100,0.0019969940185546875
9300,0.0
9300,0.0
9300,0.00499725341796875
9500,0.0019979476928710938
9500,0.003997325897216797
9500,0.0029981136322021484
9700,0.005994558334350586
9700,0.003997802734375
9700,0.0029997825622558594
9900,0.00699615478515625
9900,0.0019981861114501953
9900,0.0
10100,0.0029973983764648438
10100,0.0
10100,0.0
10300,0.0
10300,0.004996299743652344
10300,0.0059967041015625
10500,0.0
10500,0.00299835205078125
10500,0.0
10700,0.0
10700,0.00644993782043457
10700,0.0
10900,0.003996133804321289
10900,0.0059967041015625
10900,0.018906354904174805
11100,0.0073337554931640625
11100,0.0049970149993896484
11100,0.0029985904693603516
11300,0.02098703384399414
11300,0.0059967041015625
11300,0.006995201110839844
11500,0.00099945068359375
11500,0.0049970149993896484
11500,0.001996755599975586
11700,0.012991666793823242
11700,0.003997802734375
11700,0.007993221282958984
11900,0.0009992122650146484
11900,0.0039975643157958984
11900,0.003996610641479492
12100,0.0029973983764648438
12100,0.004996776580810547
12100,0.006995677947998047
12300,0.001998424530029297
12300,0.0049970149993896484
12300,0.003998756408691406
12500,0.0029976367950439453
12500,0.003999471664428711
12500,0.00899505615234375
12700,0.002001523971557617
12700,0.007995367050170898
12700,0.0009984970092773438
12900,0.0009984970092773438
12900,0.005995988845825195
12900,0.010992765426635742
13100,0.0009996891021728516
13100,0.004995822906494141
13100,0.00699615478515625
13300,0.0059969425201416016
13300,0.0069980621337890625
13300,0.004996061325073242
13500,0.0029993057250976562
13500,0.003996849060058594
13500,0.0009996891021728516
13700,0.0029976367950439453
13700,0.0059947967529296875
13700,0.004996061325073242
13900,0.005998373031616211
13900,0.00899505615234375
13900,0.011992931365966797
14100,0.0039980411529541016
14100,0.0049970149993896484
14100,0.01668071746826172
14300,0.016483545303344727
14300,0.005997657775878906
14300,0.0019991397857666016
14500,0.004997730255126953
14500,0.0
14500,0.0069959163665771484
14700,0.003996610641479492
14700,0.005996227264404297
14700,0.004996776580810547
14900,0.005993366241455078
14900,0.006995677947998047
14900,0.0019998550415039062
15100,0.0
15100,0.0029993057250976562
15100,0.0059964656829833984
15300,0.006996631622314453
15300,0.010992288589477539
15300,0.006994485855102539
15500,0.00999593734741211
15500,0.0
15500,0.007996797561645508
15700,0.0
15700,0.010993003845214844
15700,0.005995988845825195
15900,0.002998828887939453
15900,0.001001119613647461
15900,0.0039980411529541016
16100,0.003997802734375
16100,0.009002447128295898
16100,0.008995771408081055
16300,0.007994413375854492
16300,0.00499725341796875
16300,0.003997087478637695
16500,0.015624046325683594
16500,0.014540433883666992
16500,0.006995439529418945
16700,0.00299835205078125
16700,0.0
16700,0.0099945068359375
16900,0.0029976367950439453
16900,0.004996299743652344
16900,0.01099252700805664
17100,0.004996299743652344
17100,0.00499725341796875
17100,0.010993242263793945
17300,0.008995294570922852
17300,0.0020036697387695312
17300,0.010993003845214844
17500,0.010995864868164062
17500,0.01798868179321289
17500,0.012991189956665039
17700,0.011990070343017578
17700,0.003011941909790039
17700,0.007007598876953125
17900,0.0019981861114501953
17900,0.004995584487915039
17900,0.0
18100,0.008001327514648438
18100,0.002997159957885742
18100,0.005996227264404297
18300,0.001998424530029297
18300,0.03098440170288086
18300,0.0010001659393310547
18500,0.001998424530029297
18500,0.00899505615234375
18500,0.0009999275207519531
18700,0.0
18700,0.0
18700,0.004996538162231445
18900,0.005995512008666992
18900,0.0
18900,0.012275457382202148
19100,0.004996538162231445
19100,0.002998828887939453
19100,0.015624761581420898
19300,0.016524076461791992
19300,0.0
19300,0.005997419357299805
19500,0.006995201110839844
19500,0.0029997825622558594
19500,0.00900721549987793
19700,0.0030007362365722656
19700,0.009994745254516602
19700,0.008991241455078125
19900,0.00699615478515625
19900,0.0
19900,0.005995988845825195
20100,0.0009999275207519531
20100,0.012003421783447266
20100,0.0029990673065185547
20300,0.011005163192749023
20300,0.004988908767700195
20300,0.0009992122650146484
20500,0.01326441764831543
20500,0.01399087905883789
20500,0.0
20700,0.009994983673095703
20700,0.006565093994140625
20700,0.010008096694946289
20900,0.0010001659393310547
20900,0.0009996891021728516
20900,0.0030002593994140625
21100,0.009994983673095703
21100,0.0020132064819335938
21100,0.003997325897216797
21300,0.009994029998779297
21300,0.0009999275207519531
21300,0.0019986629486083984
21500,0.009993791580200195
21500,0.013992071151733398
21500,0.002000093460083008
21700,0.009994029998779297
21700,0.014992952346801758
21700,0.015624523162841797
21900,0.007994413375854492
21900,0.007996559143066406
21900,0.009007692337036133
22100,0.004998922348022461
22100,0.0010018348693847656
22100,0.003998994827270508
22300,0.009701728820800781
22300,0.009993791580200195
22300,0.007637739181518555
22500,0.004996538162231445
22500,0.01000833511352539
22500,0.011966228485107422
22700,0.005802631378173828
22700,0.009008646011352539
22700,0.003997087478637695
22900,0.0037126541137695312
22900,0.010007619857788086
22900,0.0019996166229248047
23100,0.003997087478637695
23100,0.0019989013671875
23100,0.00799417495727539
23300,0.016724109649658203
23300,0.008994340896606445
23300,0.0
23500,0.014404296875
23500,0.005995988845825195
23500,0.007993936538696289
23700,0.008995771408081055
23700,0.00299835205078125
23700,0.004994630813598633
23900,0.005997180938720703
23900,0.013007879257202148
23900,0.002989530563354492
24100,0.000997781753540039
24100,0.004996776580810547
24100,0.003998517990112305
24300,0.01998734474182129
24300,0.0
24300,0.015491008758544922
24500,0.010485649108886719
24500,0.007995128631591797
24500,0.01749277114868164
24700,0.015665769577026367
24700,0.004149198532104492
24700,0.0019996166229248047
24900,0.005997180938720703
24900,0.011590242385864258
24900,0.013993024826049805
25100,0.009994983673095703
25100,0.015048503875732422
25100,0.011790752410888672
25300,0.0
25300,0.015652179718017578
25300,0.001998424530029297
25500,0.0036602020263671875
25500,0.01754164695739746
25500,0.009008407592773438
25700,0.005998134613037109
25700,0.008008480072021484
25700,0.010995149612426758
25900,0.0019998550415039062
25900,0.0099945068359375
25900,0.0019989013671875
26100,0.007997274398803711
26100,0.005997180938720703
26100,0.005995273590087891
26300,0.010995149612426758
26300,0.011993408203125
26300,0.009006738662719727
26500,0.007996320724487305
26500,0.015625
26500,0.0
26700,0.013982295989990234
26700,0.014992475509643555
26700,0.011342287063598633
26900,0.014990568161010742
26900,0.012006998062133789
26900,0.012993574142456055
27100,0.0059967041015625
27100,0.016202449798583984
27100,0.0159912109375
27300,0.0059986114501953125
27300,0.007995843887329102
27300,0.01598978042602539
27500,0.014992713928222656
27500,0.012411117553710938
27500,0.008479833602905273
27700,0.0
27700,0.0039980411529541016
27700,0.022814035415649414
27900,0.010994911193847656
27900,0.009994983673095703
27900,0.001998424530029297
28100,0.05597114562988281
28100,0.0010013580322265625
28100,0.014991521835327148
28300,0.011992931365966797
1,0.0
